short_name;value_eur;wage_eur;player_positions;club;id
L. Messi; 95500000;565000;RW, CF, ST;FC Barcelona;    1
Cristiano Ronaldo; 58500000;405000;ST, LW;Juventus;    2
Neymar Jr;105500000;290000;LW, CAM;Paris Saint-Germain;    3
J. Oblak; 77500000;125000;GK;Atlético Madrid;    4
E. Hazard; 90000000;470000;LW, CF;Real Madrid;    5
K. De Bruyne; 90000000;370000;CAM, CM;Manchester City;    6
M. ter Stegen; 67500000;250000;GK;FC Barcelona;    7
V. van Dijk; 78000000;200000;CB;Liverpool;    8
L. Modrić; 45000000;340000;CM;Real Madrid;    9
M. Salah; 80500000;240000;RW, ST;Liverpool;   10
K. Mbappé; 93500000;155000;ST, RW;Paris Saint-Germain;   11
K. Koulibaly; 67500000;150000;CB;Napoli;   12
H. Kane; 83000000;220000;ST;Tottenham Hotspur;   13
Alisson; 58000000;155000;GK;Liverpool;   14
De Gea; 56000000;205000;GK;Manchester United;   15
N. Kanté; 66000000;235000;CDM, CM;Chelsea;   16
G. Chiellini; 24500000;215000;CB;Juventus;   17
S. Agüero; 60000000;300000;ST;Manchester City;   18
Sergio Ramos; 31500000;300000;CB;Real Madrid;   19
L. Suárez; 53000000;355000;ST;FC Barcelona;   20
R. Lewandowski; 64500000;235000;ST;FC Bayern München;   21
Sergio Busquets; 55000000;300000;CDM, CM;FC Barcelona;   22
A. Griezmann; 69000000;370000;CF, ST, LW;FC Barcelona;   23
P. Dybala; 76500000;215000;CAM, RW;Juventus;   24
P. Pogba; 72500000;250000;CM, CDM;Manchester United;   25
Ederson; 54500000;185000;GK;Manchester City;   26
R. Sterling; 73000000;255000;RW, LW;Manchester City;   27
C. Eriksen; 68000000;205000;CAM, CM;Tottenham Hotspur;   28
T. Courtois; 48000000;235000;GK;Real Madrid;   29
Piqué; 38000000;285000;CB;FC Barcelona;   30
S. Handanovič; 26000000;110000;GK;Inter;   31
M. Neuer; 32000000;155000;GK;FC Bayern München;   32
H. Lloris; 36000000;150000;GK;Tottenham Hotspur;   33
David Silva; 36000000;265000;CAM, CM;Manchester City;   34
E. Cavani; 47000000;195000;ST;Paris Saint-Germain;   35
D. Godín; 28000000;135000;CB;Inter;   36
T. Kroos; 57000000;330000;CM;Real Madrid;   37
M. Reus; 56000000;170000;CAM, LM, ST;Borussia Dortmund;   38
P. Aubameyang; 57000000;205000;ST, LM;Arsenal;   39
S. Mané; 62000000;220000;LW, LM;Liverpool;   40
A. Laporte; 56500000;195000;CB, LB;Manchester City;   41
Bernardo Silva; 64000000;210000;RW, CAM, CM;Manchester City;   42
Casemiro; 53500000;240000;CDM;Real Madrid;   43
H. Son; 60000000;185000;CF, LM;Tottenham Hotspur;   44
Fernandinho; 19500000;200000;CDM;Manchester City;   45
Thiago Silva; 18500000;135000;CB;Paris Saint-Germain;   46
K. Benzema; 45000000;285000;CF, ST;Real Madrid;   47
J. Vertonghen; 32500000;155000;CB;Tottenham Hotspur;   48
D. Mertens; 40000000;135000;CF, ST;Napoli;   49
M. Hummels; 41000000;130000;CB;Borussia Dortmund;   50
T. Alderweireld; 41000000;155000;CB;Tottenham Hotspur;   51
Jordi Alba; 40000000;240000;LB;FC Barcelona;   52
Thiago; 50000000;180000;CM, CAM, CDM;FC Bayern München;   53
K. Navas; 30500000;195000;GK;Real Madrid;   54
L. Insigne; 52000000;140000;CF, LW, ST;Napoli;   55
L. Sané; 61000000;195000;LW;Manchester City;   56
Marquinhos; 51500000;120000;CB, CDM;Paris Saint-Germain;   57
M. Škriniar; 52000000; 89000;CB;Inter;   58
M. Verratti; 54500000;140000;CM, CDM;Paris Saint-Germain;   59
S. Umtiti; 50000000;210000;CB;FC Barcelona;   60
W. Szczęsny; 37500000;135000;GK;Juventus;   61
J. Kimmich; 48000000;125000;RB, CM, CDM;FC Bayern München;   62
Isco; 51000000;245000;CAM, CM, LW;Real Madrid;   63
Roberto Firmino; 52000000;170000;CF, ST, CAM;Liverpool;   64
I. Rakitić; 38000000;245000;CM, CDM;FC Barcelona;   65
M. Pjanić; 42500000;180000;CM, CDM;Juventus;   66
A. Di María; 39000000;150000;RW, LW;Paris Saint-Germain;   67
L. Bonucci; 28500000;160000;CB;Juventus;   68
Coutinho; 46500000;175000;LW, CM;FC Bayern München;   69
Parejo; 41000000; 69000;CM;Valencia CF;   70
T. Müller; 43500000;170000;CAM, RM, RW;FC Bayern München;   71
C. Immobile; 44500000;105000;ST;Lazio;   72
A. Lacazette; 46000000;165000;ST;Arsenal;   73
M. de Ligt; 50000000; 76000;CB;Juventus;   74
G. Donnarumma; 41500000; 34000;GK;Milan;   75
F. de Jong; 52000000;195000;CM, CDM;FC Barcelona;   76
R. Varane; 45000000;205000;CB;Real Madrid;   77
N. Süle; 46500000;115000;CB;FC Bayern München;   78
S. Milinković-Savić; 50500000; 73000;CM, CAM;Lazio;   79
Rodri; 47000000;150000;CDM, CM;Manchester City;   80
Saúl; 49500000; 77000;CM, LM, RM;Atlético Madrid;   81
Fabinho; 45000000;125000;CDM;Liverpool;   82
A. Robertson; 43500000;125000;LB;Liverpool;   83
J. Giménez; 45000000; 69000;CB;Atlético Madrid;   84
C. Lenglet; 45000000;175000;CB;FC Barcelona;   85
Bruno Fernandes; 49000000; 24000;CAM, CM;Sporting CP;   86
A. Lopes; 33500000; 88000;GK;Olympique Lyonnais;   87
P. Gulácsi; 31000000; 69000;GK;RB Leipzig;   88
R. Bürki; 32000000; 92000;GK;Borussia Dortmund;   89
R. Lukaku; 46000000;115000;ST;Inter;   90
K. Manolas; 37500000;105000;CB;Napoli;   91
Neto; 31000000;175000;GK;FC Barcelona;   92
D. Alaba; 38000000;135000;LB, CB;FC Bayern München;   93
M. Icardi; 46000000;115000;ST;Inter;   94
Carvajal; 38000000;205000;RB;Real Madrid;   95
H. Ziyech; 45000000; 39000;CAM, RW;Ajax;   96
Z. Ibrahimović; 14000000; 15000;ST;LA Galaxy;   97
A. Gómez; 34000000; 92000;CAM, CF, ST;Atalanta;   98
G. Higuaín; 34500000;175000;ST;Juventus;   99
B. Matuidi; 25000000;145000;CDM, CM;Juventus;  100
G. Bale; 37500000;250000;RW, LW, ST;Real Madrid;  101
Marcelo; 28000000;205000;LB;Real Madrid;  102
A. Witsel; 31500000;110000;CDM, CM;Borussia Dortmund;  103
Alex Sandro; 33000000;155000;LB, LM;Juventus;  104
Iago Aspas; 34500000; 49000;ST, RW;RC Celta;  105
Koke; 40500000; 88000;RM, LM, CM;Atlético Madrid;  106
J. Rodríguez; 40500000;225000;CAM, CM, RM;Real Madrid;  107
Allan; 38000000;110000;CM;Napoli;  108
J. Sancho; 44500000; 61000;RM, LM;Borussia Dortmund;  109
K. Havertz; 46000000; 70000;CAM, RM;Bayer 04 Leverkusen;  110
O. Dembélé; 42500000;195000;RW, LW;FC Barcelona;  111
Kepa; 31000000; 92000;GK;Chelsea;  112
João Cancelo; 36500000;150000;RB;Manchester City;  113
D. Alli; 41500000;115000;CAM, CM;Tottenham Hotspur;  114
L. Hernández; 37500000;110000;CB, LB;FC Bayern München;  115
Arthur; 41000000;180000;CM;FC Barcelona;  116
M. Depay; 40500000;110000;CF, LW, CAM;Olympique Lyonnais;  117
L. Goretzka; 40000000;120000;CM, CAM, CDM;FC Bayern München;  118
J. Brandt; 40500000; 94000;CAM, LM, RM;Borussia Dortmund;  119
K. Coman; 40500000;120000;LM, RM, LW;FC Bayern München;  120
S. Gnabry; 39500000;120000;RM, LM, LW;FC Bayern München;  121
N. Fekir; 39000000; 40000;CAM;Real Betis;  122
B. Leno; 26000000; 91000;GK;Arsenal;  123
Luis Alberto; 37500000; 78000;CAM, CM, CF;Lazio;  124
Alex Telles; 33000000; 23000;LB;FC Porto;  125
J. Pavlenka; 26000000; 37000;GK;SV Werder Bremen;  126
S. de Vrij; 31500000; 88000;CB;Inter;  127
Felipe Anderson; 36500000;125000;LM;West Ham United;  128
Pepe;  6500000; 16000;CB;FC Porto;  129
João Moutinho; 23500000;125000;CM;Wolverhampton Wanderers;  130
S. Ruffier; 19000000; 41000;GK;AS Saint-Étienne;  131
S. Sirigu; 19000000; 54000;GK;Torino;  132
M. Hamšík; 26500000; 26000;CM;Dalian YiFang FC;  133
Sokratis; 23000000;115000;CB;Arsenal;  134
Lucas Leiva; 20500000; 71000;CDM;Lazio;  135
M. Özil; 29500000;125000;CAM, RW;Arsenal;  136
Javi Martínez; 25500000;125000;CDM, CB;FC Bayern München;  137
