ls;st;rs;lw;lf;cf;rf;rw;lam;cam;ram;lm;lcm;cm;rcm;rm;lwb;ldm;cdm;rdm;rwb;lb;lcb;cb;rcb;rb;gk
89;89;89;93;93;93;93;93;93;93;93;92;87;87;87;92;68;66;66;66;68;63;52;52;52;63; 0
91;91;91;89;90;90;90;89;88;88;88;88;81;81;81;88;65;61;61;61;65;61;53;53;53;61; 0
84;84;84;90;89;89;89;90;90;90;90;89;82;82;82;89;66;61;61;61;66;61;46;46;46;61; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;91
83;83;83;89;88;88;88;89;89;89;89;89;83;83;83;89;66;63;63;63;66;61;49;49;49;61; 0
82;82;82;87;87;87;87;87;88;88;88;88;87;87;87;88;77;77;77;77;77;73;66;66;66;73; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;90
69;69;69;67;69;69;69;67;69;69;69;69;74;74;74;69;79;83;83;83;79;81;87;87;87;81; 0
77;77;77;84;83;83;83;84;86;86;86;85;87;87;87;85;81;81;81;81;81;79;72;72;72;79; 0
84;84;84;88;88;88;88;88;87;87;87;87;81;81;81;87;70;67;67;67;70;66;57;57;57;66; 0
86;86;86;87;87;87;87;87;86;86;86;86;78;78;78;86;66;62;62;62;66;63;54;54;54;63; 0
56;56;56;55;57;57;57;55;58;58;58;60;65;65;65;60;74;79;79;79;74;77;86;86;86;77; 0
86;86;86;82;84;84;84;82;83;83;83;82;79;79;79;82;65;66;66;66;65;62;60;60;60;62; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;89
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;89
72;72;72;77;76;76;76;77;78;78;78;79;82;82;82;79;85;87;87;87;85;84;83;83;83;84; 0
58;58;58;55;56;56;56;55;56;56;56;57;62;62;62;57;73;77;77;77;73;76;86;86;86;76; 0
87;87;87;85;87;87;87;85;85;85;85;83;77;77;77;83;60;58;58;58;60;56;50;50;50;56; 0
74;74;74;72;73;73;73;72;74;74;74;73;78;78;78;73;80;84;84;84;80;82;87;87;87;82; 0
86;86;86;83;85;85;85;83;84;84;84;82;79;79;79;82;67;67;67;67;67;64;63;63;63;64; 0
86;86;86;82;85;85;85;82;83;83;83;80;77;77;77;80;61;62;62;62;61;58;57;57;57;58; 0
70;70;70;73;75;75;75;73;78;78;78;75;83;83;83;75;78;86;86;86;78;78;82;82;82;78; 0
85;85;85;87;87;87;87;87;87;87;87;86;83;83;83;86;73;71;71;71;73;70;65;65;65;70; 0
80;80;80;85;85;85;85;85;86;86;86;85;80;80;80;85;68;64;64;64;68;64;54;54;54;64; 0
81;81;81;82;83;83;83;82;84;84;84;83;84;84;84;83;76;77;77;77;76;74;72;72;72;74; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;88
79;79;79;86;85;85;85;86;85;85;85;85;78;78;78;85;68;62;62;62;68;64;51;51;51;64; 0
78;78;78;84;84;84;84;84;86;86;86;85;85;85;85;85;71;71;71;71;71;66;57;57;57;66; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;88
70;70;70;67;69;69;69;67;71;71;71;69;76;76;76;69;77;83;83;83;77;78;85;85;85;78; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;88
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;88
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;88
76;76;76;83;83;83;83;83;85;85;85;83;83;83;83;83;68;69;69;69;68;63;56;56;56;63; 0
85;85;85;80;83;83;83;80;80;80;80;79;75;75;75;79;68;66;66;66;68;66;65;65;65;66; 0
62;62;62;59;60;60;60;59;61;61;61;61;67;67;67;61;74;80;80;80;74;77;86;86;86;77; 0
75;75;75;78;79;79;79;78;81;81;81;79;85;85;85;79;75;79;79;79;75;72;69;69;69;72; 0
82;82;82;86;86;86;86;86;86;86;86;85;80;80;80;85;69;65;65;65;69;64;55;55;55;64; 0
84;84;84;83;83;83;83;83;81;81;81;81;74;74;74;81;64;58;58;58;64;61;51;51;51;61; 0
85;85;85;86;87;87;87;86;85;85;85;85;78;78;78;85;67;63;63;63;67;64;57;57;57;64; 0
65;65;65;64;66;66;66;64;67;67;67;67;74;74;74;67;78;82;82;82;78;80;85;85;85;80; 0
77;77;77;85;84;84;84;85;85;85;85;86;82;82;82;86;72;69;69;69;72;67;57;57;57;67; 0
74;74;74;71;74;74;74;71;74;74;74;72;79;79;79;72;78;84;84;84;78;79;84;84;84;79; 0
83;83;83;86;86;86;86;86;85;85;85;85;78;78;78;85;67;63;63;63;67;63;53;53;53;63; 0
74;74;74;75;76;76;76;75;78;78;78;76;81;81;81;76;80;84;84;84;80;80;82;82;82;80; 0
66;66;66;66;67;67;67;66;69;69;69;68;75;75;75;68;77;82;82;82;77;78;84;84;84;78; 0
83;83;83;83;84;84;84;83;84;84;84;82;78;78;78;82;62;62;62;62;62;58;54;54;54;58; 0
69;69;69;68;69;69;69;68;70;70;70;70;74;74;74;70;79;82;82;82;79;80;84;84;84;80; 0
78;78;78;86;85;85;85;86;85;85;85;85;78;78;78;85;65;60;60;60;65;60;46;46;46;60; 0
68;68;68;67;68;68;68;67;71;71;71;69;77;77;77;69;77;83;83;83;77;78;84;84;84;78; 0
66;66;66;64;66;66;66;64;67;67;67;67;74;74;74;67;78;83;83;83;78;80;84;84;84;80; 0
76;76;76;82;80;80;80;82;81;81;81;83;81;81;81;83;84;81;81;81;84;84;78;78;78;84; 0
75;75;75;82;81;81;81;82;84;84;84;82;84;84;84;82;78;78;78;78;78;75;69;69;69;75; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;87
79;79;79;87;86;86;86;87;87;87;87;86;79;79;79;86;63;58;58;58;63;58;44;44;44;58; 0
82;82;82;84;84;84;84;84;83;83;83;83;74;74;74;83;65;59;59;59;65;61;52;52;52;61; 0
63;63;63;66;66;66;66;66;68;68;68;70;74;74;74;70;79;82;82;82;79;81;83;83;83;81; 0
58;58;58;58;59;59;59;58;60;60;60;62;66;66;66;62;74;79;79;79;74;76;84;84;84;76; 0
69;69;69;78;77;77;77;78;81;81;81;80;84;84;84;80;80;83;83;83;80;79;76;76;76;79; 0
68;68;68;66;67;67;67;66;67;67;67;67;72;72;72;67;77;80;80;80;77;79;84;84;84;79; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;86
76;76;76;80;79;79;79;80;81;81;81;82;84;84;84;82;83;82;82;82;83;81;78;78;78;81; 0
76;76;76;83;82;82;82;83;84;84;84;81;81;81;81;81;70;70;70;70;70;67;62;62;62;67; 0
83;83;83;83;84;84;84;83;84;84;84;83;82;82;82;83;72;73;73;73;72;69;67;67;67;69; 0
76;76;76;79;79;79;79;79;81;81;81;80;83;83;83;80;77;79;79;79;77;75;72;72;72;75; 0
